Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-10 00:00:00+05:30,24088.73932936442,24284.371361449408,23930.518112660066,24243.638671875,14179,0.0,0.0
2023-05-11 00:00:00+05:30,24261.697552011483,24742.962309178172,24212.082628592238,24685.259765625,19207,0.0,0.0
2023-05-12 00:00:00+05:30,24410.59302067773,24732.04733833711,24023.5966131207,24560.23046875,41410,0.0,0.0
2023-05-15 00:00:00+05:30,24560.229343384217,24857.075807964975,24256.289495456316,24402.552734375,19341,0.0,0.0
2023-05-16 00:00:00+05:30,24402.55391125103,24558.245930898003,24147.682433431033,24210.4453125,12024,0.0,0.0
2023-05-17 00:00:00+05:30,24212.083828166593,24657.575472386467,24162.4689022892,24230.9375,28274,0.0,0.0
2023-05-18 00:00:00+05:30,24321.23648916829,24479.953860668757,23715.934397842597,23799.5859375,17375,0.0,0.0
2023-05-19 00:00:00+05:30,23890.131788640218,24309.327494759036,23544.860379166195,24220.666015625,29803,0.0,0.0
2023-05-22 00:00:00+05:30,24139.84135062481,24724.35551022757,24047.55759755398,24280.203125,33885,0.0,0.0
2023-05-23 00:00:00+05:30,24222.00583276617,25253.99624923798,24222.00583276617,24575.06640625,64597,0.0,0.0
2023-05-24 00:00:00+05:30,24460.157539226057,24509.77246324071,23523.179699209253,23806.03515625,76229,0.0,0.0
2023-05-25 00:00:00+05:30,23846.71868142604,24112.852350655663,23656.3950633593,24060.359375,37451,0.0,0.0
2023-05-26 00:00:00+05:30,24063.237690393915,24893.49303786394,23991.792201168828,24784.638671875,48742,0.0,0.0
2023-05-29 00:00:00+05:30,24857.076931926716,25273.34614441946,24799.920927077084,25066.798828125,32876,0.0,0.0
2023-05-30 00:00:00+05:30,25005.921506309904,25685.645959953643,24922.61882477901,25389.890625,54929,0.0,0.0
2023-05-31 00:00:00+05:30,25328.418436469263,25392.91783699308,24795.703390682578,24971.388671875,208322,0.0,0.0
2023-06-01 00:00:00+05:30,25160.141437868366,25254.666777790495,24963.434100604693,25028.17578125,31272,55.0,0.0
2023-06-02 00:00:00+05:30,25160.141769739465,25160.192270271054,24831.915506993882,24899.98828125,43663,0.0,0.0
2023-06-05 00:00:00+05:30,25029.8154323481,25158.152821724747,24571.06666112305,24682.845703125,37650,0.0,0.0
2023-06-06 00:00:00+05:30,24812.07663223949,25715.006716159605,24640.083475160893,25651.212890625,77331,0.0,0.0
2023-06-07 00:00:00+05:30,25652.403705301298,25722.56447763506,25374.2001799453,25653.0,39831,0.0,0.0
2023-06-08 00:00:00+05:30,25653.00187350793,25993.410420534616,25419.351450953593,25490.306640625,36793,0.0,0.0
2023-06-09 00:00:00+05:30,25532.223345723254,25804.559110814618,25230.401097760703,25307.125,21413,0.0,0.0
2023-06-12 00:00:00+05:30,25408.76003367693,25607.456319599525,25240.247527332005,25573.24609375,17611,0.0,0.0
2023-06-13 00:00:00+05:30,25756.824628126913,26075.055666003384,25608.00150585437,26019.365234375,34032,0.0,0.0
2023-06-14 00:00:00+05:30,26055.16440513924,26244.063570145307,25941.596488365587,26091.064453125,26924,0.0,0.0
2023-06-15 00:00:00+05:30,26091.0683832663,26138.604925318523,25872.134967784557,26000.771484375,23905,0.0,0.0
2023-06-16 00:00:00+05:30,26025.332285284705,26254.0608456827,25965.71446571222,26068.244140625,31673,0.0,0.0
2023-06-19 00:00:00+05:30,26273.751935299115,26433.065571632564,25672.444056318534,25855.27734375,33881,0.0,0.0
2023-06-20 00:00:00+05:30,25766.769427795745,26044.028997334844,25597.709188400713,25805.751953125,18089,0.0,0.0
2023-06-21 00:00:00+05:30,25806.549475487856,26000.123846820694,25108.72922093745,25518.8984375,62343,0.0,0.0
2023-06-22 00:00:00+05:30,25508.206975597153,25831.41037782207,25374.003755204558,25514.521484375,35342,0.0,0.0
2023-06-23 00:00:00+05:30,25508.20581639425,25508.256316923555,24927.434190789016,25006.24609375,25869,0.0,0.0
2023-06-26 00:00:00+05:30,22505.647306361723,24011.526538541755,22480.635946993454,23571.125,438935,0.0,0.0
2023-06-27 00:00:00+05:30,23976.72077423869,24142.30036813793,23509.61803612808,23885.37890625,154928,0.0,0.0
2023-06-28 00:00:00+05:30,23917.05200042776,24165.619504058115,23695.980094195245,23920.43359375,71538,0.0,0.0
2023-06-30 00:00:00+05:30,23947.881565303025,24076.168460445424,23718.15852051315,23754.40625,46765,0.0,0.0
2023-07-03 00:00:00+05:30,24066.221488148294,24076.166207771497,23817.60349756825,23987.658203125,30015,0.0,0.0
2023-07-04 00:00:00+05:30,23987.65912730603,24065.128884621085,23837.544355741495,23948.82421875,17326,0.0,0.0
2023-07-05 00:00:00+05:30,23879.26009829377,24424.032601105584,23870.906145575893,24297.435546875,43292,0.0,0.0
2023-07-06 00:00:00+05:30,24414.23637908812,24414.28687961788,24046.332250474963,24084.669921875,22295,0.0,0.0
2023-07-07 00:00:00+05:30,24084.670442795807,24133.399570411926,23591.709510882407,23751.322265625,35053,0.0,0.0
2023-07-10 00:00:00+05:30,23774.84216431547,23957.825012779685,23623.732920463364,23884.533203125,24408,0.0,0.0
2023-07-11 00:00:00+05:30,23942.213869779243,24212.213033017426,23430.65705564243,23822.92578125,105568,0.0,0.0
2023-07-12 00:00:00+05:30,23688.32287688206,24205.945549317705,23594.842509525766,24127.283203125,62988,0.0,0.0
2023-07-13 00:00:00+05:30,24177.60122267677,24376.396547158038,23882.243063613965,24019.4296875,32096,0.0,0.0
2023-07-14 00:00:00+05:30,24137.82319342771,24270.087962903894,23868.71947196659,24205.099609375,20770,0.0,0.0
2023-07-17 00:00:00+05:30,24304.895481921125,24391.762221947556,23936.940844919864,23984.625,36264,0.0,0.0
2023-07-18 00:00:00+05:30,24026.39221971095,24119.67446713715,23321.263036979206,23815.86328125,17119,0.0,0.0
2023-07-19 00:00:00+05:30,23917.051922009286,23991.538264277762,23773.797451549315,23895.47265625,29499,0.0,0.0
2023-07-20 00:00:00+05:30,23480.776484460872,23614.482462086897,23220.920185284904,23279.64453125,101108,0.0,0.0
2023-07-21 00:00:00+05:30,23298.542340446416,23329.37097485982,22898.7140646148,22961.1171875,37839,0.0,0.0
2023-07-24 00:00:00+05:30,23071.7514093902,23193.376117242533,22962.557602081713,23108.546875,35964,0.0,0.0
2023-07-25 00:00:00+05:30,23194.07132792999,23578.88150586483,23071.751267331634,23550.888671875,32141,0.0,0.0
2023-07-26 00:00:00+05:30,23618.709983245022,24205.448462828794,23434.136368641583,24140.310546875,87313,0.0,0.0
2023-07-27 00:00:00+05:30,24165.66929952108,24179.939584078016,23633.27910940651,23737.599609375,36633,0.0,0.0
2023-07-28 00:00:00+05:30,23926.69732624791,24051.155886162596,23741.577916345002,23915.11328125,22865,0.0,0.0
2023-07-31 00:00:00+05:30,23668.433356144258,24164.674879031485,23668.433356144258,23975.12890625,30798,0.0,0.0
2023-08-01 00:00:00+05:30,24066.22220781589,24066.22220781589,23848.283282290646,23968.814453125,47864,0.0,0.0
2023-08-02 00:00:00+05:30,23966.77267676764,23966.77267676764,23772.850657183833,23912.17578125,34126,0.0,0.0
2023-08-03 00:00:00+05:30,23907.106318876038,24089.84054458708,23728.499540333745,23981.044921875,24563,0.0,0.0
2023-08-04 00:00:00+05:30,24096.055823729985,24151.746254028327,23969.26064760429,24090.287109375,18589,0.0,0.0
2023-08-07 00:00:00+05:30,24265.11564157353,24265.11564157353,23909.939595264157,24119.375,8891,0.0,0.0
2023-08-08 00:00:00+05:30,24165.668423643918,24242.739999892165,23986.81303161601,24135.884765625,20046,0.0,0.0
2023-08-09 00:00:00+05:30,24215.39134102209,24237.26972334252,23879.25983082638,24196.546875,30445,0.0,0.0
2023-08-10 00:00:00+05:30,24066.321656912347,24260.14463977404,23794.681239409856,24040.9140625,37905,0.0,0.0
2023-08-11 00:00:00+05:30,24045.488239325765,24145.78035286121,23918.145321777378,23977.31640625,12901,0.0,0.0
2023-08-14 00:00:00+05:30,23967.76992762901,23996.360997933953,23520.257522856056,23589.423828125,16303,0.0,0.0
2023-08-16 00:00:00+05:30,23559.041781140913,23841.124153617544,23376.10943288682,23788.267578125,17783,0.0,0.0
2023-08-17 00:00:00+05:30,23827.54902053342,23905.8636902065,23589.025300794747,23659.6328125,22943,0.0,0.0
2023-08-18 00:00:00+05:30,23679.37343615572,23713.134984542892,23321.36350641669,23407.13671875,19865,0.0,0.0
2023-08-21 00:00:00+05:30,23539.10329968846,23643.5733671442,23394.20949661585,23479.68359375,24001,0.0,0.0
2023-08-22 00:00:00+05:30,23598.819504682633,23800.598252924898,23527.51664240248,23730.78515625,16676,0.0,0.0
2023-08-23 00:00:00+05:30,23737.74844379078,24155.725818562398,23494.401912866888,23539.650390625,40294,0.0,0.0
2023-08-24 00:00:00+05:30,23618.658884573266,23787.769620701834,23467.60014556848,23727.703125,48660,0.0,0.0
2023-08-25 00:00:00+05:30,23688.32308990108,23766.787319331997,23480.478441463245,23720.4453125,21989,0.0,0.0
2023-08-28 00:00:00+05:30,23816.6092663618,23960.807702355887,23621.096465058876,23887.564453125,13891,0.0,0.0
2023-08-29 00:00:00+05:30,23891.194494839277,24034.34795731582,23875.282943394162,23996.806640625,15323,0.0,0.0
2023-08-30 00:00:00+05:30,24016.499769868,24190.53237689603,23833.51691447853,23914.9140625,17040,0.0,0.0
2023-08-31 00:00:00+05:30,23918.04657091729,23966.77569993375,23663.46173360679,23669.578125,61972,0.0,0.0
2023-09-01 00:00:00+05:30,23698.2686666213,24045.83664391816,23688.32394624085,24005.908203125,27413,0.0,0.0
2023-09-04 00:00:00+05:30,24454.066693934205,25651.111873875197,24313.846140707497,25529.638671875,119316,0.0,0.0
2023-09-05 00:00:00+05:30,25557.929497223722,25695.465746896814,25259.587907761965,25582.841796875,41937,0.0,0.0
2023-09-06 00:00:00+05:30,25557.928383819817,25676.917337698796,25359.033999509935,25508.50390625,37280,0.0,0.0
2023-09-07 00:00:00+05:30,25498.261018558893,25652.404172142225,25353.118613132126,25596.515625,22670,0.0,0.0
2023-09-08 00:00:00+05:30,25557.929624753735,25905.198459688814,25508.206026261996,25829.51953125,30009,0.0,0.0
2023-09-11 00:00:00+05:30,25826.436485356255,25910.22074696162,25567.873778918343,25654.791015625,20820,0.0,0.0
2023-09-12 00:00:00+05:30,25806.44949639692,26053.127112082908,25364.655307741144,25891.177734375,46577,0.0,0.0
2023-09-13 00:00:00+05:30,25758.81357985157,26183.25500367806,25707.10103618111,26093.50390625,40313,0.0,0.0
2023-09-14 00:00:00+05:30,26055.166855738324,26354.502932974097,26005.841432141184,26298.8125,88963,0.0,0.0
2023-09-15 00:00:00+05:30,26254.062205510512,26968.042639202184,26017.377856839623,26646.1328125,57876,0.0,0.0
2023-09-18 00:00:00+05:30,26527.88675216517,26674.322745749432,26160.578928540137,26246.103515625,20562,0.0,0.0
2023-09-20 00:00:00+05:30,26204.28611736829,26347.192905990643,25905.995024525764,25963.42578125,28131,0.0,0.0
2023-09-21 00:00:00+05:30,25955.72059888921,26353.458919794153,25806.549790849618,26148.25,29874,0.0,0.0
2023-09-22 00:00:00+05:30,26109.860510697665,26296.075379508486,25677.26522133741,25796.302734375,50277,0.0,0.0
2023-09-25 00:00:00+05:30,25796.303462347518,25909.921883506497,25637.537568174666,25713.513671875,25519,0.0,0.0
2023-09-26 00:00:00+05:30,25771.742146536366,26098.77387865297,25771.742146536366,25889.08984375,15228,0.0,0.0
2023-09-27 00:00:00+05:30,25940.80150062617,26372.303279589072,25756.824185018893,26282.453125,16809,0.0,0.0
2023-09-28 00:00:00+05:30,26359.47346067301,26396.268922758758,25410.00136806841,25490.005859375,46905,0.0,0.0
2023-09-29 00:00:00+05:30,25656.382150976217,25657.376622938347,25202.456200793476,25324.228515625,22812,0.0,0.0
2023-10-03 00:00:00+05:30,25358.936575064858,25554.548437708836,25169.190543273675,25482.44921875,14992,0.0,0.0
2023-10-04 00:00:00+05:30,25448.536562937963,25483.244021589042,25174.01181108692,25326.166015625,16317,0.0,0.0
2023-10-05 00:00:00+05:30,25359.036719187632,25796.60441159714,25296.9327179576,25620.732421875,26035,0.0,0.0
2023-10-06 00:00:00+05:30,25756.52682317572,25756.52682317572,25410.80017091323,25644.69921875,9701,0.0,0.0
2023-10-09 00:00:00+05:30,25507.26194320038,25632.21579180086,25360.029591779414,25587.763671875,6134,0.0,0.0
2023-10-10 00:00:00+05:30,25607.704891746012,26077.04518238498,25607.704891746012,26019.1171875,11972,0.0,0.0
2023-10-11 00:00:00+05:30,26082.96058167366,26771.18569212019,26055.165866773736,26354.849609375,31504,0.0,0.0
2023-10-12 00:00:00+05:30,26527.54130481808,26646.87794798877,26282.403950304953,26506.16015625,21583,0.0,0.0
2023-10-13 00:00:00+05:30,26308.756332018187,26750.74862829676,26308.756332018187,26702.716796875,14489,0.0,0.0
2023-10-16 00:00:00+05:30,26701.574469771727,27148.041918471874,26429.885483383026,26511.53125,28766,0.0,0.0
2023-10-17 00:00:00+05:30,26562.396948716792,26726.43432403672,26381.451607496376,26484.478515625,22537,0.0,0.0
2023-10-18 00:00:00+05:30,26552.4527486779,26766.512845453693,26370.41387318773,26665.5234375,21203,0.0,0.0
2023-10-19 00:00:00+05:30,26413.175564942358,26452.903943275418,25856.27126086225,26152.076171875,26692,0.0,0.0
2023-10-20 00:00:00+05:30,26152.077559507314,26253.911883265206,25756.825430365276,25940.455078125,22799,0.0,0.0
2023-10-23 00:00:00+05:30,25881.13427158043,26054.66963874242,25419.25251969573,25562.0078125,16692,0.0,0.0
2023-10-25 00:00:00+05:30,25507.212910394952,25847.223283423886,25306.62868034635,25565.19140625,39909,0.0,0.0
2023-10-26 00:00:00+05:30,25538.040904604793,25756.725685396064,25235.571857995263,25291.013671875,56816,0.0,0.0
2023-10-27 00:00:00+05:30,25291.014910126825,25540.279717055804,25169.0930256876,25373.45703125,19096,0.0,0.0
2023-10-30 00:00:00+05:30,25557.82934020562,25854.281031729195,25220.852917854943,25800.1328125,25503,0.0,0.0
2023-10-31 00:00:00+05:30,25787.353156261157,25937.269803533647,25409.803432266202,25513.228515625,22304,0.0,0.0
2023-11-01 00:00:00+05:30,25629.831466777785,25647.43284422198,25186.1473961311,25280.125,12977,0.0,0.0
2023-11-02 00:00:00+05:30,25359.035552385365,25806.547944486283,25285.89136114519,25749.1171875,15029,0.0,0.0
2023-11-03 00:00:00+05:30,25855.27642514506,26000.469330951866,25736.934262192935,25814.353515625,7457,0.0,0.0
2023-11-06 00:00:00+05:30,25882.127695802243,26347.938758697805,25855.873247121104,26255.0546875,20370,0.0,0.0
2023-11-07 00:00:00+05:30,26341.523980977,26602.126146947794,26174.503184585643,26538.033203125,17181,0.0,0.0
2023-11-08 00:00:00+05:30,26521.62494641171,26554.242463448525,26055.21756649055,26125.27734375,28452,0.0,0.0
2023-11-09 00:00:00+05:30,26253.962104419512,26253.962104419512,25742.255752810164,25807.94140625,23367,0.0,0.0
2023-11-10 00:00:00+05:30,25816.98922385687,26325.611129021203,25615.659153216973,26212.7890625,41966,0.0,0.0
2023-11-13 00:00:00+05:30,26154.61368963502,26199.613547789242,25931.106106869036,26051.38671875,10644,0.0,0.0
2023-11-15 00:00:00+05:30,26159.585108368516,26254.009444763262,26000.66771101086,26058.595703125,15802,0.0,0.0
2023-11-16 00:00:00+05:30,26055.165124738338,26129.75052108778,25823.402659550626,26029.70703125,16298,0.0,0.0
2023-11-17 00:00:00+05:30,26055.166867472304,26333.619032468192,25923.947061649258,26054.96875,18638,0.0,0.0
2023-11-20 00:00:00+05:30,26054.96739732399,26169.52979090053,25761.84678528265,25810.177734375,19776,0.0,0.0
2023-11-21 00:00:00+05:30,25859.254571201156,26050.59136621598,25714.01116341488,25793.669921875,12026,0.0,0.0
2023-11-22 00:00:00+05:30,25787.005445891355,25955.71800136584,25736.984671998187,25853.337890625,39407,0.0,0.0
2023-11-23 00:00:00+05:30,25955.718282908758,25955.718282908758,25726.59155373885,25778.900390625,57461,0.0,0.0
2023-11-24 00:00:00+05:30,25778.901498810348,25902.86282302492,25458.483394888746,25503.6328125,13597,0.0,0.0
2023-11-28 00:00:00+05:30,25473.399588986926,26185.44152167147,25458.48250939158,25923.34765625,16523,0.0,0.0
2023-11-29 00:00:00+05:30,26097.03190851377,26097.03190851377,25772.78549538485,25962.580078125,15622,0.0,0.0
2023-11-30 00:00:00+05:30,26097.927043284963,26801.018702759964,25962.678859849882,26593.919921875,42932,0.0,0.0
2023-12-01 00:00:00+05:30,26691.578405475735,26915.8318450549,26477.817422595286,26877.1484375,16305,0.0,0.0
2023-12-04 00:00:00+05:30,26970.229096411796,27760.684744823237,26902.156325398522,27563.779296875,29221,0.0,0.0
2023-12-05 00:00:00+05:30,27596.497593614087,27894.938237774368,27448.42033157969,27849.04296875,20686,0.0,0.0
2023-12-06 00:00:00+05:30,27845.21559158524,27888.424622420232,27460.35493323012,27645.42578125,14937,0.0,0.0
2023-12-07 00:00:00+05:30,27745.76769128852,27994.187563892996,27398.69697715735,27865.6015625,19069,0.0,0.0
2023-12-08 00:00:00+05:30,27726.376802053874,27995.381480053034,27383.831696039437,27517.2890625,21927,0.0,0.0
2023-12-11 00:00:00+05:30,27725.879103281906,28224.70586539757,27589.486881279157,28146.142578125,22308,0.0,0.0
2023-12-12 00:00:00+05:30,28093.833726300607,28640.793320971945,28044.16062731579,28448.662109375,19543,0.0,0.0
2023-12-13 00:00:00+05:30,28349.910291771186,28772.510387539696,28064.0500948054,28379.09765625,16860,0.0,0.0
2023-12-14 00:00:00+05:30,28392.175964879294,28732.28539325018,28308.34119727065,28574.21484375,16406,0.0,0.0
2023-12-15 00:00:00+05:30,28639.797858842205,28837.350101353404,28481.676817849257,28599.919921875,18437,0.0,0.0
2023-12-18 00:00:00+05:30,28629.854221245012,28699.76637932022,28322.5623752495,28399.13671875,9633,0.0,0.0
2023-12-19 00:00:00+05:30,28541.346088543556,28565.86021154167,28250.016296253933,28427.92578125,11149,0.0,0.0
2023-12-20 00:00:00+05:30,28620.804072684434,28620.804072684434,27953.1657079438,28096.81640625,15113,0.0,0.0
2023-12-21 00:00:00+05:30,27850.18939922049,28340.464113514925,27795.493437179528,28057.8359375,32973,0.0,0.0
2023-12-22 00:00:00+05:30,28057.833735884797,28215.50609959933,27751.48587196049,28030.734375,21741,0.0,0.0
2023-12-26 00:00:00+05:30,28213.170086741982,28700.46135718624,28100.99287041052,28448.611328125,15472,0.0,0.0
2023-12-27 00:00:00+05:30,28441.70243351024,29088.30738169268,28272.741244218967,28486.552734375,27058,0.0,0.0
2023-12-28 00:00:00+05:30,28491.62056008317,28720.199542847422,28343.4442437323,28443.388671875,9507,0.0,0.0
2023-12-29 00:00:00+05:30,28541.345360652576,28741.234225373522,28286.811038452823,28494.904296875,11742,0.0,0.0
2024-01-01 00:00:00+05:30,28591.069782963463,28591.069782963463,28194.275457975553,28304.263671875,5760,0.0,0.0
